"project_id","total_fund_rasing","stage","stage_status","biz_type","csrc_code","law_office_id","sponsor_id","sponsor_name","accounting_firm_id","accounting_firm_name","rating_agency_id","rating_agency_name","accept_apply_date","law_office_name","asset_evaluation_institute_id","asset_evaluation_institute_name","company_id","update_date","create_date","company_name","stage_name","stage_status_name","issue_market","csrc_desc","accept_apply_time","update_time","create_time"
"443",13.0682,5,1,1,"C39","313200007205822566","0_1094","中天国富证券有限公司","20015","立信会计师事务所（特殊普通合伙）","","","20200508183446","江苏世纪同仁律师事务所","30063","中水致远资产评估有限公司","a452c4903513b659a7af7eed415cef18","20200916140206","20200429110220","深圳市科思科技股份有限公司","注册结果","注册生效",1,"计算机、通信和其他电子设备制造业",1588934086000,1600236126000,1588129340000
"294",3.6338,8,,1,"I65","10027","0_1065","申港证券股份有限公司","20005","北京中证天通会计师事务所（特殊普通合伙）","","","20191122112941","北京市万商天勤律师事务所","30003","北京国融兴华资产评估有限责任公司","b6a9d0288a049026a7188185592c9361","20200911182343","20191106165339","传神语联网网络科技股份有限公司","终止","",1,"软件和信息技术服务业",1574393381000,1599819823000,1573030419000
"352",12,5,1,1,"C38","11420","0_1047","华泰联合证券有限责任公司","20008","大信会计师事务所（特殊普通合伙）","","","20200323144839","国浩律师（上海）事务所","30050","万隆(上海)资产评估有限公司","c503627b0e9cf2d017fcbab896a9e960","20200909144705","20200317213620","上海宏力达信息技术股份有限公司","注册结果","注册生效",1,"电气机械和器材制造业",1584946119000,1599634025000,1584452180000
"415",4.3343,5,1,1,"M73","10004","0_1075","西部证券股份有限公司","20007","大华会计师事务所（特殊普通合伙）","","","20200428175531","上海市锦天城律师事务所","30070","北京华亚正信资产评估有限公司","2bf5b442867d5473e3486c2953043301","20200909144656","20200416172058","上海阿拉丁生化科技股份有限公司","注册结果","注册生效",1,"研究和试验发展",1588067731000,1599634016000,1587028858000
"390",4.3125,5,1,1,"C26","10001","0_1016","东方证券承销保荐有限公司","20015","立信会计师事务所（特殊普通合伙）","","","20200409134841","北京市大成律师事务所","30054","银信资产评估有限公司","8fc0867fe22b31a44e60f9e2a7a5adee","20200909144645","20200331134735","东来涂料技术（上海）股份有限公司","注册结果","注册生效",1,"化学原料和化学制品制造业",1586411321000,1599634005000,1585633655000
"397",3.5983,5,1,1,"C35","11420","0_1002","安信证券股份有限公司","20035","中天运会计师事务所（特殊普通合伙）","","","20200417083620","国浩律师（上海）事务所","30016","北京中天和资产评估有限公司","6a363db935cf7ea9a2684346c12cfef2","20200902174727","20200407123039","天臣国际医疗科技股份有限公司","注册结果","注册生效",1,"专用设备制造业",1587083780000,1599040047000,1586233839000
"383",3,5,1,1,"C29","10010","0_1016","东方证券承销保荐有限公司","20024","天健会计师事务所（特殊普通合伙）","","","20200403154024","广东信达律师事务所","30032","坤元资产评估有限公司","7ea28cb3ce1f67d4257ddda30e49c790","20200902174717","20200326162018","江苏泛亚微透科技股份有限公司","注册结果","注册生效",1,"橡胶和塑料制品业",1585899624000,1599040037000,1585210818000
"384",8.0365,5,1,1,"C39","10008","0_1047","华泰联合证券有限责任公司","20013","江苏公证天业会计师事务所（特殊普通合伙）","","","20200403154003","北京国枫律师事务所","30030","江苏中企华中天资产评估有限公司","52f6a3160fd1017017e18cca0118a5ac","20200902174707","20200327112121","苏州世华新材料科技股份有限公司","注册结果","注册生效",1,"计算机、通信和其他电子设备制造业",1585899603000,1599040027000,1585279281000
"337",2.155,5,1,1,"C26","11420","0_1066","申万宏源证券承销保荐有限责任公司","20006","毕马威华振会计师事务所（特殊普通合伙）","","","20191227161820","国浩律师（上海）事务所","30050","万隆(上海)资产评估有限公司","7180ba5a47db3be3c40147b325e54f93","20200902174658","20191223213644","上纬新材料科技股份有限公司","注册结果","注册生效",1,"化学原料和化学制品制造业",1577434700000,1599040018000,1577108204000
"293",3.3731,8,,1,"I65","10008","0_1086","中德证券有限责任公司","20029","致同会计师事务所（特殊普通合伙）","","","20191111144129","北京国枫律师事务所","30063","中水致远资产评估有限公司","85e48e14412ea6385b221cb44735cfaf","20200901211340","20191031151626","精英数智科技股份有限公司","终止","",1,"软件和信息技术服务业",1573454489000,1598966020000,1572506186000
"477",7.7169,8,,1,"C39","10013","0_1002","安信证券股份有限公司","20024","天健会计师事务所（特殊普通合伙）","","","20200526165600","广东华商律师事务所","30025","中联国际评估咨询有限公司","b1c53be3ac393f08459df2ad19bac297","20200901133615","20200522085242","桂林智神信息技术股份有限公司","终止","",1,"计算机、通信和其他电子设备制造业",1590483360000,1598938575000,1590108762000
"206",4.0339,5,1,1,"C30","10157","0_1081","兴业证券股份有限公司","20012","容诚会计师事务所（特殊普通合伙）","","","20190718171916","北京市中瑞律师事务所","30021","福建联合中和资产评估土地房地产估价有限公司","f8146b3ad3dbe86678829f6121240e40","20200109164348","20190624214105","福建赛特新材股份有限公司","注册结果","注册生效",1,"非金属矿物制品业",1563441556000,1578559428000,1561383665000
"71",6.9,5,1,1,"C33","10019","0_1095","中信建投证券股份有限公司","20024","天健会计师事务所（特殊普通合伙）","","","20190410180609","安徽天禾律师事务所","30032","坤元资产评估有限公司","efac23c37c3e2f3165ad3c1237100dcc","20200109164338","20190329113007","张家港广大特材股份有限公司","注册结果","注册生效",1,"金属制品业",1554890769000,1578559418000,1553830207000
"146",5.5649,5,1,1,"C39","10003","0_1041","华创证券有限责任公司","20015","立信会计师事务所（特殊普通合伙）","","","20190507183519","北京德恒律师事务所","30026","国众联资产评估土地房地产估价有限公司","7bd0658e977665bb31cded984aace2a7","20200102180118","20190429131846","深圳市有方科技股份有限公司","注册结果","注册生效",1,"计算机、通信和其他电子设备制造业",1557225319000,1577959278000,1556515126000
"91",3.5,5,1,1,"I65","10008","0_1095","中信建投证券股份有限公司","20023","天衡会计师事务所（特殊普通合伙）","","","20190410180650","北京国枫律师事务所","30007","北京天健兴业资产评估有限公司","4f94f17a5b0f3badec85cc1fccf02649","20191114173757","20190401165951","江苏卓易信息科技股份有限公司","注册结果","注册生效",1,"软件和信息技术服务业",1554890810000,1573724277000,1554109191000
"179",23.8388,5,1,1,"C27","10020","0_1087","中国国际金融股份有限公司","20027","信永中和会计师事务所（特殊普通合伙）","","","20190610171528","北京市君合律师事务所","30057","中和资产评估有限公司","be33a9bb3f63cce6a9c78e8f7930d577","20200102180111","20190531143128","苏州泽璟生物制药股份有限公司","注册结果","注册生效",1,"医药制造业",1560158128000,1577959271000,1559284288000
