"file_id","file_name","file_url","publish_time","file_type_of_process","file_type_of_audit","file_type_of_process_desc","file_type_of_audit_desc","company_name","stage","stage_name","project_id","company_id","publish_date"
"1657010450482浙江力聚热能装备股份有限公司首次公开发行股票招股说明书（申报稿2022年6月22日报送）.pdf","1657010450482浙江力聚热能装备股份有限公司首次公开发行股票招股说明书（申报稿2022年6月22日报送）.pdf","http://eid.csrc.gov.cn/mnt/storage/stock/pre_ipo/pre_ipo2022/7/5/1657010450482%E6%B5%99%E6%B1%9F%E5%8A%9B%E8%81%9A%E7%83%AD%E8%83%BD%E8%A3%85%E5%A4%87%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%A6%96%E6%AC%A1%E5%85%AC%E5%BC%80%E5%8F%91%E8%A1%8C%E8%82%A1%E7%A5%A8%E6%8B%9B%E8%82%A1%E8%AF%B4%E6%98%8E%E4%B9%A6%EF%BC%88%E7%94%B3%E6%8A%A5%E7%A8%BF2022%E5%B9%B46%E6%9C%8822%E6%97%A5%E6%8A%A5%E9%80%81%EF%BC%89.pdf",1656950400000,1,3,"预披露","招股说明书","浙江力聚热能装备股份有限公司",1,"预披露","浙江力聚热能装备股份有限公司","浙江力聚热能装备股份有限公司","2022-07-05"
"1657009711595樱桃谷育种科技股份有限公司首次公开发行股票招股说明书（申报稿2022年6月23日报送）.pdf","1657009711595樱桃谷育种科技股份有限公司首次公开发行股票招股说明书（申报稿2022年6月23日报送）.pdf","http://eid.csrc.gov.cn/mnt/storage/stock/pre_ipo/pre_ipo2022/7/5/1657009711595%E6%A8%B1%E6%A1%83%E8%B0%B7%E8%82%B2%E7%A7%8D%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%A6%96%E6%AC%A1%E5%85%AC%E5%BC%80%E5%8F%91%E8%A1%8C%E8%82%A1%E7%A5%A8%E6%8B%9B%E8%82%A1%E8%AF%B4%E6%98%8E%E4%B9%A6%EF%BC%88%E7%94%B3%E6%8A%A5%E7%A8%BF2022%E5%B9%B46%E6%9C%8823%E6%97%A5%E6%8A%A5%E9%80%81%EF%BC%89.pdf",1656950400000,1,3,"预披露","招股说明书","樱桃谷育种科技股份有限公司",1,"预披露","樱桃谷育种科技股份有限公司","樱桃谷育种科技股份有限公司","2022-07-05"
"1657008890340永杰新材料股份有限公司首次公开发行股票招股说明书（申报稿2022年6月22日报送）.pdf","1657008890340永杰新材料股份有限公司首次公开发行股票招股说明书（申报稿2022年6月22日报送）.pdf","http://eid.csrc.gov.cn/mnt/storage/stock/pre_ipo/pre_ipo2022/7/5/1657008890340%E6%B0%B8%E6%9D%B0%E6%96%B0%E6%9D%90%E6%96%99%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%A6%96%E6%AC%A1%E5%85%AC%E5%BC%80%E5%8F%91%E8%A1%8C%E8%82%A1%E7%A5%A8%E6%8B%9B%E8%82%A1%E8%AF%B4%E6%98%8E%E4%B9%A6%EF%BC%88%E7%94%B3%E6%8A%A5%E7%A8%BF2022%E5%B9%B46%E6%9C%8822%E6%97%A5%E6%8A%A5%E9%80%81%EF%BC%89.pdf",1656950400000,1,3,"预披露","招股说明书","永杰新材料股份有限公司",1,"预披露","永杰新材料股份有限公司","永杰新材料股份有限公司","2022-07-05"
"1657008274795浙江峻和科技股份有限公司首次公开发行股票招股说明书（申报稿2022年6月23日报送）.pdf","1657008274795浙江峻和科技股份有限公司首次公开发行股票招股说明书（申报稿2022年6月23日报送）.pdf","http://eid.csrc.gov.cn/mnt/storage/stock/pre_ipo/pre_ipo2022/7/5/1657008274795%E6%B5%99%E6%B1%9F%E5%B3%BB%E5%92%8C%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%A6%96%E6%AC%A1%E5%85%AC%E5%BC%80%E5%8F%91%E8%A1%8C%E8%82%A1%E7%A5%A8%E6%8B%9B%E8%82%A1%E8%AF%B4%E6%98%8E%E4%B9%A6%EF%BC%88%E7%94%B3%E6%8A%A5%E7%A8%BF2022%E5%B9%B46%E6%9C%8823%E6%97%A5%E6%8A%A5%E9%80%81%EF%BC%89.pdf",1656950400000,1,3,"预披露","招股说明书","浙江峻和科技股份有限公司",1,"预披露","浙江峻和科技股份有限公司","浙江峻和科技股份有限公司","2022-07-05"
"1657010402463浙江浙能燃气股份有限公司首次公开发行股票招股说明书（申报稿2022年6月23日报送）.pdf","1657010402463浙江浙能燃气股份有限公司首次公开发行股票招股说明书（申报稿2022年6月23日报送）.pdf","http://eid.csrc.gov.cn/mnt/storage/stock/pre_ipo/pre_ipo2022/7/5/1657010402463%E6%B5%99%E6%B1%9F%E6%B5%99%E8%83%BD%E7%87%83%E6%B0%94%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%A6%96%E6%AC%A1%E5%85%AC%E5%BC%80%E5%8F%91%E8%A1%8C%E8%82%A1%E7%A5%A8%E6%8B%9B%E8%82%A1%E8%AF%B4%E6%98%8E%E4%B9%A6%EF%BC%88%E7%94%B3%E6%8A%A5%E7%A8%BF2022%E5%B9%B46%E6%9C%8823%E6%97%A5%E6%8A%A5%E9%80%81%EF%BC%89.pdf",1656950400000,1,3,"预披露","招股说明书","浙江浙能燃气股份有限公司",1,"预披露","浙江浙能燃气股份有限公司","浙江浙能燃气股份有限公司","2022-07-05"
"1657008489632中国瑞林工程技术股份有限公司首次公开发行股票招股说明书（申报稿2022年6月23日报送）.pdf","1657008489632中国瑞林工程技术股份有限公司首次公开发行股票招股说明书（申报稿2022年6月23日报送）.pdf","http://eid.csrc.gov.cn/mnt/storage/stock/pre_ipo/pre_ipo2022/7/5/1657008489632%E4%B8%AD%E5%9B%BD%E7%91%9E%E6%9E%97%E5%B7%A5%E7%A8%8B%E6%8A%80%E6%9C%AF%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%A6%96%E6%AC%A1%E5%85%AC%E5%BC%80%E5%8F%91%E8%A1%8C%E8%82%A1%E7%A5%A8%E6%8B%9B%E8%82%A1%E8%AF%B4%E6%98%8E%E4%B9%A6%EF%BC%88%E7%94%B3%E6%8A%A5%E7%A8%BF2022%E5%B9%B46%E6%9C%8823%E6%97%A5%E6%8A%A5%E9%80%81%EF%BC%89.pdf",1656950400000,1,3,"预披露","招股说明书","中国瑞林工程技术股份有限公司",1,"预披露","中国瑞林工程技术股份有限公司","中国瑞林工程技术股份有限公司","2022-07-05"
"1657009145469想念食品股份有限公司首次公开发行股票招股说明书（申报稿2022年6月23日报送）.pdf","1657009145469想念食品股份有限公司首次公开发行股票招股说明书（申报稿2022年6月23日报送）.pdf","http://eid.csrc.gov.cn/mnt/storage/stock/pre_ipo/pre_ipo2022/7/5/1657009145469%E6%83%B3%E5%BF%B5%E9%A3%9F%E5%93%81%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%A6%96%E6%AC%A1%E5%85%AC%E5%BC%80%E5%8F%91%E8%A1%8C%E8%82%A1%E7%A5%A8%E6%8B%9B%E8%82%A1%E8%AF%B4%E6%98%8E%E4%B9%A6%EF%BC%88%E7%94%B3%E6%8A%A5%E7%A8%BF2022%E5%B9%B46%E6%9C%8823%E6%97%A5%E6%8A%A5%E9%80%81%EF%BC%89.pdf",1656950400000,1,3,"预披露","招股说明书","想念食品股份有限公司",1,"预披露","想念食品股份有限公司","想念食品股份有限公司","2022-07-05"
"1657008381270新湖期货股份有限公司首次公开发行股票招股说明书（申报稿2022年6月23日报送）.pdf","1657008381270新湖期货股份有限公司首次公开发行股票招股说明书（申报稿2022年6月23日报送）.pdf","http://eid.csrc.gov.cn/mnt/storage/stock/pre_ipo/pre_ipo2022/7/5/1657008381270%E6%96%B0%E6%B9%96%E6%9C%9F%E8%B4%A7%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%A6%96%E6%AC%A1%E5%85%AC%E5%BC%80%E5%8F%91%E8%A1%8C%E8%82%A1%E7%A5%A8%E6%8B%9B%E8%82%A1%E8%AF%B4%E6%98%8E%E4%B9%A6%EF%BC%88%E7%94%B3%E6%8A%A5%E7%A8%BF2022%E5%B9%B46%E6%9C%8823%E6%97%A5%E6%8A%A5%E9%80%81%EF%BC%89.pdf",1656950400000,1,3,"预披露","招股说明书","新湖期货股份有限公司",1,"预披露","新湖期货股份有限公司","新湖期货股份有限公司","2022-07-05"
"深圳麦格米特电气股份有限公司首次公开发行股票招股说明书（申报稿）.pdf","深圳麦格米特电气股份有限公司首次公开发行股票招股说明书（申报稿）.pdf","http://eid.csrc.gov.cn/mnt/storage/stock/pre_ipo/pre_ipo/CN-752523971-GA0101-20150403-11.pdf",1427990400000,1,3,"预披露","招股说明书","深圳麦格米特电气股份有限公司",1,"预披露","深圳麦格米特电气股份有限公司","深圳麦格米特电气股份有限公司","2015-04-03"
"广东粤运交通股份有限公司首次公开发行股票招股说明书（申报稿）.pdf","广东粤运交通股份有限公司首次公开发行股票招股说明书（申报稿）.pdf","http://eid.csrc.gov.cn/xbrl2/exhibitxbrl//101781440/12035/CN-719285123-GA0101-20180921-11.pdf",1537459200000,1,3,"预披露","招股说明书","广东粤运交通股份有限公司",1,"预披露","广东粤运交通股份有限公司","广东粤运交通股份有限公司","2018-09-21"
