"stock_exchange_type_desc","time","count","date","stock_exchange_type"
"科创板",1666195200000,830,"2022-10-20",1
"沪市主板",1666195200000,2293,"2022-10-20",3
"深市主板",1666195200000,1153,"2022-10-20",4
"创业板",1666281600000,1040,"2022-10-21",2
"科创板",1666281600000,830,"2022-10-21",1
"沪市主板",1666281600000,2293,"2022-10-21",3
"深市主板",1666281600000,1153,"2022-10-21",4
"创业板",1666368000000,1040,"2022-10-22",2
"科创板",1666368000000,830,"2022-10-22",1
"沪市主板",1666368000000,2293,"2022-10-22",3
"深市主板",1666368000000,1153,"2022-10-22",4
"创业板",1666454400000,1040,"2022-10-23",2
"科创板",1666454400000,830,"2022-10-23",1
"沪市主板",1666454400000,2293,"2022-10-23",3
"深市主板",1666454400000,1153,"2022-10-23",4
"创业板",1666540800000,1040,"2022-10-24",2
"科创板",1666540800000,830,"2022-10-24",1
"沪市主板",1666540800000,2293,"2022-10-24",3
"深市主板",1666540800000,1153,"2022-10-24",4
"创业板",1666627200000,1040,"2022-10-25",2
"科创板",1666627200000,830,"2022-10-25",1
"沪市主板",1666627200000,2293,"2022-10-25",3
"深市主板",1666627200000,1153,"2022-10-25",4
"创业板",1666713600000,1040,"2022-10-26",2
"科创板",1666713600000,830,"2022-10-26",1
"沪市主板",1666713600000,2293,"2022-10-26",3
"深市主板",1666713600000,1153,"2022-10-26",4
"创业板",1666800000000,1040,"2022-10-27",2
"科创板",1666800000000,830,"2022-10-27",1
"沪市主板",1666800000000,2293,"2022-10-27",3
"深市主板",1666800000000,1153,"2022-10-27",4
"沪市主板",1666972800000,2297,"2022-10-29",3
"深市主板",1666972800000,1157,"2022-10-29",4
"创业板",1666886400000,1040,"2022-10-28",2
"科创板",1666886400000,830,"2022-10-28",1
"沪市主板",1666886400000,2293,"2022-10-28",3
"深市主板",1666886400000,1153,"2022-10-28",4
"创业板",1666972800000,1040,"2022-10-29",2
"科创板",1666972800000,830,"2022-10-29",1
"创业板",1667059200000,1040,"2022-10-30",2
"科创板",1667059200000,830,"2022-10-30",1
"沪市主板",1667059200000,2297,"2022-10-30",3
"深市主板",1667059200000,1157,"2022-10-30",4
"创业板",1667145600000,1040,"2022-10-31",2
"科创板",1667145600000,830,"2022-10-31",1
"沪市主板",1667145600000,2297,"2022-10-31",3
"深市主板",1667145600000,1157,"2022-10-31",4
"创业板",1667232000000,1040,"2022-11-01",2
"科创板",1667232000000,831,"2022-11-01",1
"沪市主板",1667232000000,2297,"2022-11-01",3
"深市主板",1667232000000,1157,"2022-11-01",4
"创业板",1667318400000,1040,"2022-11-02",2
"科创板",1667318400000,831,"2022-11-02",1
"沪市主板",1667318400000,2299,"2022-11-02",3
"深市主板",1667318400000,1160,"2022-11-02",4
"创业板",1667404800000,1040,"2022-11-03",2
"科创板",1667404800000,831,"2022-11-03",1
"沪市主板",1667404800000,2299,"2022-11-03",3
"深市主板",1667404800000,1160,"2022-11-03",4
"创业板",1667491200000,1040,"2022-11-04",2
"科创板",1667491200000,831,"2022-11-04",1
"沪市主板",1667491200000,2299,"2022-11-04",3
"深市主板",1667491200000,1160,"2022-11-04",4
"创业板",1667577600000,1040,"2022-11-05",2
"科创板",1667577600000,832,"2022-11-05",1
"沪市主板",1667577600000,2302,"2022-11-05",3
"深市主板",1667577600000,1160,"2022-11-05",4
"创业板",1667664000000,1040,"2022-11-06",2
"科创板",1667664000000,832,"2022-11-06",1
"沪市主板",1667664000000,2302,"2022-11-06",3
"深市主板",1667664000000,1160,"2022-11-06",4
"创业板",1667750400000,1040,"2022-11-07",2
"科创板",1667750400000,832,"2022-11-07",1
"沪市主板",1667750400000,2302,"2022-11-07",3
"深市主板",1667750400000,1160,"2022-11-07",4
"深市主板",1669305600000,1162,"2022-11-25",4
"创业板",1669392000000,1041,"2022-11-26",2
"创业板",1667836800000,1040,"2022-11-08",2
"科创板",1667836800000,832,"2022-11-08",1
"沪市主板",1667836800000,2302,"2022-11-08",3
"深市主板",1667836800000,1160,"2022-11-08",4
"创业板",1667923200000,1040,"2022-11-09",2
"科创板",1667923200000,832,"2022-11-09",1
"沪市主板",1667923200000,2302,"2022-11-09",3
"深市主板",1667923200000,1160,"2022-11-09",4
"创业板",1668009600000,1040,"2022-11-10",2
"科创板",1668009600000,832,"2022-11-10",1
"沪市主板",1668009600000,2302,"2022-11-10",3
"深市主板",1668009600000,1160,"2022-11-10",4
"创业板",1668096000000,1040,"2022-11-11",2
"科创板",1668096000000,832,"2022-11-11",1
"沪市主板",1668096000000,2302,"2022-11-11",3
"深市主板",1668096000000,1160,"2022-11-11",4
"创业板",1668182400000,1040,"2022-11-12",2
"科创板",1668182400000,832,"2022-11-12",1
"沪市主板",1668182400000,2302,"2022-11-12",3
"深市主板",1668182400000,1161,"2022-11-12",4
"创业板",1668268800000,1040,"2022-11-13",2
"科创板",1668268800000,832,"2022-11-13",1
"沪市主板",1668268800000,2302,"2022-11-13",3
"深市主板",1668268800000,1161,"2022-11-13",4
"创业板",1668355200000,1040,"2022-11-14",2
"科创板",1668355200000,832,"2022-11-14",1
"沪市主板",1668355200000,2302,"2022-11-14",3
"深市主板",1668355200000,1161,"2022-11-14",4
"创业板",1668441600000,1040,"2022-11-15",2
"科创板",1668441600000,833,"2022-11-15",1
"沪市主板",1668441600000,2302,"2022-11-15",3
"深市主板",1668441600000,1161,"2022-11-15",4
"创业板",1668528000000,1040,"2022-11-16",2
"科创板",1668528000000,833,"2022-11-16",1
"沪市主板",1668528000000,2302,"2022-11-16",3
"深市主板",1668528000000,1161,"2022-11-16",4
"创业板",1668614400000,1040,"2022-11-17",2
"科创板",1668614400000,833,"2022-11-17",1
"沪市主板",1668614400000,2302,"2022-11-17",3
"深市主板",1668614400000,1161,"2022-11-17",4
"创业板",1668700800000,1040,"2022-11-18",2
"科创板",1668700800000,833,"2022-11-18",1
"沪市主板",1668700800000,2302,"2022-11-18",3
"深市主板",1668700800000,1161,"2022-11-18",4
"创业板",1668787200000,1040,"2022-11-19",2
"科创板",1668787200000,834,"2022-11-19",1
"沪市主板",1668787200000,2314,"2022-11-19",3
"深市主板",1668787200000,1162,"2022-11-19",4
"创业板",1668873600000,1040,"2022-11-20",2
"科创板",1668873600000,834,"2022-11-20",1
"沪市主板",1668873600000,2314,"2022-11-20",3
"深市主板",1668873600000,1162,"2022-11-20",4
"创业板",1668960000000,1040,"2022-11-21",2
"科创板",1668960000000,834,"2022-11-21",1
"沪市主板",1668960000000,2314,"2022-11-21",3
"深市主板",1668960000000,1162,"2022-11-21",4
"创业板",1669046400000,1040,"2022-11-22",2
"科创板",1669046400000,834,"2022-11-22",1
"沪市主板",1669046400000,2314,"2022-11-22",3
"深市主板",1669046400000,1162,"2022-11-22",4
"创业板",1669132800000,1040,"2022-11-23",2
"科创板",1669132800000,835,"2022-11-23",1
